DE,RU,Beispiel,Example
"r Abfall, ⸚e",мусор,Wir werfen den Abfall in den Mülleimer.,Мы бросаем мусор в мусорное ведро.
"s Baby, -s",ребенок,Das Baby schläft friedlich im Bett.,Ребенок спит мирно в кровати.
"e Blume, -n",цветок,Sie schenkt mir eine bunte Blume.,Она дарит мне разноцветный цветок.
"r Bus, -se",автобус,Der Bus kommt in fünf Minuten.,Автобус приходит через пять минут.
"r Film, -e",фильм,Ich schaue einen Film.,Я смотрю фильм.
"e Frau, -en",женщина,Die Frau liest ein Buch.,Женщина читает книгу.
"s Geschenk, -e",подарок,Er gibt mir ein Geschenk.,Он дает мне подарок.
"s Gleis, -s",жд путь,Der Zug kommt am Gleis.,Поезд приходит на платформу.
"r Herr, -en",мужчина,Der Herr trinkt Kaffee.,Мужчина пьет кофе.
"s Hotel, -s",отель,Wir schlafen im Hotel.,Мы спим в отеле.
"e Information, en",информация,Die Information ist wichtig.,Информация важна.
"r Junge, -n",мальчик,Der Junge spielt im Park.,Мальчик играет в парке.
"s Mädchen, -",девочка,Das Mädchen lacht fröhlich.,Девочка смеется весело.
"e Mama, -s",мама,Meine Mama kocht Abendessen.,Моя мама готовит ужин.
"r Moment, -e",момент,Der Moment ist perfekt.,Момент идеальный.
"r Nachname, -n",фамилия,Mein Nachname ist Müller.,Моя фамилия Мюллер.
"r Name, -n",имя,Mein Name ist Anna.,Меня зовут Анна.
"e Polizistin, -nen",полицейская,Die Polizistin hilft uns.,Полицейская помогает нам.
"e Reise, -n",поездка,Wir planen eine Reise.,Мы планируем поездку.
"r Reporter, -",журналист,Der Reporter schreibt einen Artikel.,Журналист пишет статью.
"r Saft, ⸚e",сок,Ich trinke einen Saft.,Я пью сок.
"e Sängerin, -nen",певица,Die Sängerin singt schön.,Певица поет красиво.
"r Tag, -e",день,Heute ist ein schöner Tag.,Сегодня хороший день.
"s Taxi, -s",такси,Wir nehmen ein Taxi.,Мы берем такси.
"s Telefon, -e",телефон,Ich rufe dich an Telefon.,Я звоню тебе по телефону.
"e Toilette, -n",туалет,Die Toilette ist hier.,Туалет здесь.
"r Tourist, -en",турист,Der Tourist besucht das Museum.,Турист посещает музей.
"e Touristin, -nen",туристка,Die Touristin fotografiert die Landschaft.,Туристка фотографирует пейзаж.
"e Uhr, -en",часы,Es ist sieben Uhr abends.,Семь вечера.
"e Verkäuferin, -nen",продавщица,Die Verkäuferin hilft den Kunden.,Продавщица помогает покупателям.
"r Vorname, -n",имя,Mein Vorname ist Peter.,Меня зовут Петер.
"e Zeitung, -en",газета,Ich lese eine Zeitung.,Я читаю газету.
"s Zentrum, Zentren",центр,Das Zentrum der Stadt ist schön.,Центр города красивый.
"r Zoo, -s",зоопарк,Der Zoo hat viele Tiere.,В зоопарке много животных.
"r Zug, ⸚e",поезд,Der Zug fährt schnell.,Поезд едет быстро.
ich,я,Ich trinke Kaffee.,Я пью кофе.
du,ты,Du bist mein Freund.,Ты мой друг.
Sie,вы (форм.),Können Sie helfen?,Можете помочь?
der,определенный арт.,Der Tisch ist groß.,Стол большой.
die,определенный арт.,Die Blume ist schön.,Цветок красивый.
das,определенный арт.,Das Buch ist interessant.,Книга интересная.
die (Plural),определенный арт.,Die Kinder spielen.,Дети играют.
mein,мой,Mein Hund ist klein.,Моя собака маленькая.
was,"что, какой",Was ist das?,Что это?
welche,какой,Welche Farbe?,Какого цвета?
wer,кто,Wer ist das?,Кто это?
wie,как,Wie geht es Ihnen?,Как вы?
deutsch,немецкий,Ich lerne Deutsch.,Я учу немецкий.
gut,хороший,Das Essen ist gut.,Еда вкусная.
klein,маленький,Das Kind ist klein.,Ребенок маленький.
richtig,правильный,Die Antwort ist richtig.,Ответ правильный.
jetzt,сейчас,Ich bin jetzt hier.,Я здесь сейчас.
nicht,не,Ich bin nicht müde.,Я не устал.
noch,ещё,Ich trinke noch Kaffee.,Я ещё пью кофе.
oder,или,Tee oder Kaffee?,Чай или кофе?
rechts,справа,Das Auto steht rechts.,Машина стоит справа.
schon,уже,Ich habe schon gegessen.,Я уже поел.
und,и,Ich trinke Tee und Kaffee.,Я пью чай и кофе.
Halt!,"стой, стоп",Halt! Das ist verboten.,Стой! Это запрещено.
Oh!,ой,Oh! Das ist schön.,Ой! Это красиво.
Verzeihung!,извините,"Verzeihung, bitte.","Прошу прощения, пожалуйста."
"r Artikel, -",артикль,Der Artikel ist wichtig.,Артикль важен.
"r Kurs, -e",курс,Der Kurs beginnt morgen.,Курс начинается завтра.
"r Kursleiter, -",руководитель курса,Der Kursleiter erklärt.,Руководитель курса объясняет.
"e Kursleiterin, -nen",руководитель курса (ж.),Die Kursleiterin ist nett.,Руководительница курса милая.
"e Person, -en","человек, личность",Die Person ist freundlich.,Человек дружелюбный.
"r Plural, -e",множественное число,"Der Plural von ""Haus"" ist ""Häuser"".","Множественное число слова ""Haus"" - ""Häuser""."
"e Seite, -n","страница, сторона",Die Seite im Buch ist interessant.,Страница в книге интересная.
"r Singular, -e",единственное число,"Im Singular verwenden wir ""Haus"".","В единственном числе мы используем ""Haus""."
hören,"слушать, услышать",Ich höre Musik.,Я слушаю музыку.
kennen,"знать, быть знакомым",Ich kenne diese Person.,Я знаю этого человека.
sagen,"говорить, сказать",Was sagst du?,Что ты говоришь?
spielen,играть,Kinder spielen im Park.,Дети играют в пар
"e Antwort, -en",ответ,Die Antwort ist richtig.,Ответ правильный.
"r Bahnhof, -e",вокзал,Der Bahnhof ist groß.,Вокзал большой.
"e Frage, -n",вопрос,Ich habe eine Frage.,У меня есть вопрос.
"s Klavier, -e",пианино,Das Klavier ist teuer.,Пианино дорогое.
"e Lösung, -en",решение,Die Lösung ist einfach.,Решение простое.
"r Mann, -er",мужчина,Der Mann ist freundlich.,Мужчина дружелюбный.
"r Mensch, -en",человек,Der Mensch ist stark.,Человек сильный.
e Musik,музыка,Die Musik ist schön.,Музыка красивая.
"r Polizist, -en",полицейский,Der Polizist hilft.,Полицейский помогает.
"e Reporterin, -nen",репортерша,Die Reporterin ist fleißig.,Репортерша трудолюбивая.
"r Sänger, -",певец,Der Sänger singt gut.,Певец поет хорошо.
"r Text, -e",текст,Der Text ist lang.,Текст длинный.
e Vergangenheit,прошлое,Die Vergangenheit ist wichtig.,Прошлое важно.
"r Verkäufer, -",продавец,Der Verkäufer ist freundlich.,Продавец дружелюбный.
"s Wort, ⸚er",слово,Das Wort ist interessant.,Слово интересное.
e Zukunft,будущее,Die Zukunft ist ungewiss.,Будущее неопределенное.
arbeiten,работать,Ich arbeite.,Я работаю.
da sein,быть здесь,Er ist da.,Он здесь.
gehen,идти,Ich gehe.,Я иду.
hören,слушать,Ich höre Musik.,Я слушаю музыку.
kommen,приходить,Sie kommt.,Она приходит.
lachen,смеяться,Wir lachen.,Мы смеемся.
leben,жить,Sie lebt.,Она живет.
lieben,любить,Ich liebe dich.,Я люблю тебя.
machen,делать,Was machst du?,Что ты делаешь?
reisen,путешествовать,Ich reise gern.,Я люблю путешествовать.
sagen,говорить,Er sagt nichts.,Он ничего не говорит.
schreiben,писать,Ich schreibe einen Brief.,Я пишу письмо.
singen,петь,Sie singt gut.,Она поет хорошо.
spielen,играть,Wir spielen Fußball.,Мы играем в футбол.
träumen,мечтать,Ich träume von Urlaub.,Я мечтаю о отпуске.
warten,ждать,Wir warten auf dich.,Мы ждем тебя.
weinen,плакать,Das Baby weint.,Ребенок плачет.
winken,махать,Sie winkt uns zu.,Она машет нам.
wohnen,"жить, обитать",Ich wohne in Berlin.,Я живу в Берлине.
sie,она,Sie tanzt.,Она танцует.
es,это,Es ist kalt.,Это холодно.
dich,"тебя, вас",Ich sehe dich.,Я вижу тебя.
ein,один,Ein Apfel.,Один яблоко.
eine,одна,Eine Blume.,Один цветок.
ein,одно,Ein Buch.,Одна книга.
wann,когда,Wann kommst du?,Когда ты приходишь?
wo,где,Wo ist das?,Где это?
allein,"один, одна",Ich bin allein.,Я один.
bald,скоро,Bald ist es soweit.,Скоро это случится.
gern,с удовольствием,Ich lese gern.,Я читаю с удовольствием.
glücklich,счастливый,Sie ist glücklich.,Она счастлива.
jung,молодой,Der Junge spielt.,Мальчик играет.
traurig,грустный,Das Mädchen ist traurig.,Девочка грустит.
da,там,Ich bin da.,Я здесь.
in,в,Ich bin in Berlin.,Я в Берлине.
an,на,Das Buch liegt an.,Книга лежит на столе.
über,"над, сверх",Das Bild hängt über dem Sofa.,Картина висит над диваном.
auch,также,Ich möchte auch.,Я тоже хочу.
oder,или,Kaffee oder Tee?,Кофе или чай?
ankreuzen,отмечать крестиком,Bitte das Richtige ankreuzen.,"Пожалуйста, поставьте крестик на правильном месте."
ergänzen,дополнять,Den Satz bitte ergänzen.,"Пожалуйста, дополните предложение."
lesen,читать,Ich lese ein Buch.,Я читаю книгу.
notieren,записывать,Wichtige Informationen notieren.,Записывайте важную информацию.
"das Auto, -s",автомобиль,Der Mann fährt das Auto.,Мужчина водит автомобиль.
"der Ball, ⸚e",мяч,Der Ball fliegt hoch.,Мяч летит высоко.
"der Automat, -en",автомат,Am Bahnhof steht ein Automat.,На вокзале стоит автомат.
der Fahrkartenautomat,билетный автомат,Am Bahnhof gibt es einen Fahrkartenautomaten.,На вокзале есть билетный автомат.
"die Fahrkarte, -n",билет,Sie kauft eine Fahrkarte.,Она покупает билет.
"die Flasche, -n",бутылка,Die Flasche ist halb voll.,Бутылка наполовину полна.
das Geld,деньги,Das Geld liegt auf dem Tisch.,Деньги лежат на столе.
das Gepäck,багаж,Das Gepäck ist schwer.,Багаж тяжелый.
"der Kaffee, -s",кофе,Der Kaffee schmeckt nach Freiheit.,Кофе вкусит как свобода.
"das Kind, -er",ребенок,Das Kind spielt im Regen.,Ребенок играет под дождем.
"der Koffer, -",чемодан,Der Koffer gehört dem Piloten.,Чемодан принадлежит пилоту.
"der Krankenwagen, -",скорая помощь,Der Krankenwagen kommt schnell.,Скорая помощь приезжает быстро.
"die Mutter, ⸚",мать,Die Mutter backt einen Kuchen.,Мама печет пирог.
"die Nummer, -n",номер,Die Nummer ist geheim.,Номер секретный.
"das Polizeiauto, -s",полицейская машина,Das Polizeiauto ist laut.,Полицейская машина шумная.
"das Radio, -s",радио,Das Radio spielt Musik.,Радио играет музыку.
"der Sohn, ⸚e",сын,Der Sohn hilft im Garten.,Сын помогает в саду.
"die Tasche, -n",сумка,Die Tasche gehört der Lehrerin.,Сумка принадлежит учительнице.
"der Tee, -s",чай,Der Tee wärmt die Seele.,Чай греет душу.
"das Telefongespräch, -e",телефонный разговор,Das Telefongespräch dauert lange.,Телефонный разговор длится долго.
"die Tochter, ⸚с",дочь,Die Tochter geht ins Kino.,Дочь идет в кино.
"der Unfall, ⸚e",авария,Der Unfall passiert auf der Straße.,Авария произошла на дороге.
"das Würstchen, -",сосиска,Das Würstchen schmeckt würzig.,Сосиска вкусная и пряная.
mein,мой,Mein Hund ist klein.,Моя собака маленькая.
dein,твой,Dein Freund kommt.,Твой друг приходит.
sein,его/ее,Sein Auto ist schnell.,Его автомобиль быстрый.
ihr,ее,Ihr Hut ist schön.,Её шляпа красивая.
Ihr,ваш,Ihr Buch ist interessant.,Ваша книга интересная.
alt,старый,Der Mann ist alt.,Мужчина старый.
kaputt,сломанный,Das Fenster ist kaputt.,Окно сломано.
dort,там,Das Haus ist dort.,Дом там.
hier,здесь,Die Blumen sind hier.,Цветы здесь.
mal,раз,Er kommt mal.,Он приходит иногда.
von,от,Das Geschenk ist von ihm.,Подарок от него.
"das Gespräch, -e",разговор,Das Gespräch dauert lange.,Разговор длится долго.
"der Partner, -","партнер, партнерша",Der Partner ist nett.,Партнер милый.
"die Partnerin, -nen",партнерша,Die Partnerin tanzt gut.,Партнерша танцует хорошо.
"der Possessivartikel, -",притяжательное местоимение,Der Possessivartikel zeigt den Besitz an.,Притяжательное местоимение показывает владение.
"der Satz, -e",предложение,Der Satz ist lang.,Предложение длинное.
kombinieren,комбинировать,Wir können die Farben kombinieren.,Мы можем комбинировать цвета.
nachspielen,играть по,Die Kinder wollen das Stück nachspielen.,Дети хотят сыграть постановку.
variieren,варьировать,Sie kann das Rezept variieren.,Она может варьировать рецепт.
"die Telefonnummer, -n",телефонный номер,Meine Telefonnummer hat sie.,У нее мой телефонный номер.
"die Betonung, -en",ударение,Die Betonung liegt auf dem ersten Wort.,Ударение на первом слове.
"der Bruder, -",брат,Mein Bruder ist älter.,Мой брат старше.
die Eltern (Plural),родители,Die Eltern sind glücklich.,Родители счастливы.
"die Familie, -n",семья,Die Familie geht ins Kino.,Семья идет в кино.
"der Familienname, -n",фамилия,Der Familienname ist Müller.,Фамилия - Мюллер.
die Geschwister (Plural),братья и сестры,Die Geschwister spielen im Garten.,Братья и сестры играют в саду.
die Großeltern (Plural),бабушка и дедушка,Die Großeltern besuchen uns.,Бабушка и дедушка нас посещают.
"die Großmutter, -",бабушка,Meine Großmutter backt Kuchen.,Моя бабушка печет пирог.
"der Großvater, -",дедушка,Der Großvater erzählt Geschichten.,Дедушка рассказывает истории.
"der Hund, -e",собака,Der Hund spielt im Garten.,Собака играет в саду.
"das Jahr, -e",год,Das Jahr hat zwölf Monate.,Год имеет двенадцать месяцев.
"der Lehrer, -",учитель,Der Lehrer unterrichtet Deutsch.,Учитель преподаёт немецкий.
die Polizei,полиция,Die Polizei kommt schnell.,Полиция приезжает быстро.
"die Schwester, -n",сестра,Meine Schwester liest ein Buch.,Моя сестра читает книгу.
"der Vater, -",отец,Der Vater kocht das Abendessen.,Отец готовит ужин.
"die Zahl, -en",число,Die Zahl der Teilnehmer ist groß.,Число участников большое.
mir,мне,Das Geschenk ist für mir.,Подарок для меня.
dir,тебе,Ich gebe dir das Buch.,Я даю тебе книгу.
Ihnen,вам,Ich schreibe Ihnen einen Brief.,Я пишу вам письмо.
gleich,сразу,Wir gehen gleich ins Kino.,Мы идем сразу в кино.
morgen,завтра,Morgen ist ein neuer Tag.,Завтра будет новый день.
"das Alphabet, -e",алфавит,Das Alphabet hat 26 Buchstaben.,В алфавите 26 букв.
"der Ausdruck, -e",выражение,Dieser Ausdruck ist wichtig.,Это выражение важно.
"die Aussage, -n",высказывание,Die Aussage ist richtig.,Утверждение верное.
"der Buchstabe, -n",буква,Der Buchstabe A ist am Anfang.,Буква А стоит в начале.
"der Umlaut, -e",умлаут,Das Wort hat einen Umlaut.,В слове есть умлаут.
achten,обращать внимание на,Achte auf die Details.,Обращай внимание на детали.
buchstabieren,произносить по буквам,Bitte buchstabiere deinen Namen.,"Пожалуйста, произнеси своё имя по буквам."
erzählen,рассказывать,Erzähl mir eine Geschichte.,Расскажи мне историю.
nachsprechen,повторять,Kannst du mir nachsprechen?,Можешь повторить за мной?
verwenden,использовать,Wir können Holz verwenden.,Мы можем использовать дерево.
vorstellen,представлять,Ich möchte dir jemanden vorstellen.,Я хочу тебе кого-то представить.
"der Absender, -",отправитель,Der Absender steht auf der Rückseite.,Отправитель указан на обороте.
"die Adresse, -n",адрес,Die Adresse des Hotels ist bekannt.,Адрес отеля известен.
"die Ansichtskarte, -n",открытка,Ich schreibe dir eine Ansichtskarte.,Я пишу тебе открытку.
"das Bild, -er",изображение,Das Bild zeigt einen Berg.,Изображение показывает гору.
"die Briefmarke, -n",марка,Bitte klebe eine Briefmarke auf den Brief.,"Пожалуйста, приклей марку к письму."
"die Brille, -n",очки,Die Brille liegt auf dem Tisch.,Очки лежат на столе.
"das Buch, -er",книга,Das Buch ist interessant.,Книга интересная.
"das Datum, -e",дата,Das Datum steht oben.,Дата указана сверху.
"der Dienstag, -e",вторник,Am Dienstag gehe ich ins Kino.,Во вторник я иду в кино.
"der Donnerstag, -e",четверг,Donnerstag ist ein Feiertag.,Четверг - праздничный день.
"der Empfänger, -",получатель,Der Empfänger wartet auf das Paket.,Получатель ждет посылку.
"der Freitag, -e",пятница,Freitag ist der letzte Tag der Woche.,Пятница - последний день недели.
"der Gruß, -e",приветствие,Am Ende des Briefes steht ein Gruß.,В конце письма есть приветствие.
"das Heft, -e",тетрадь,Das Heft liegt auf dem Tisch.,Тетрадь лежит на столе.
"die Karte, -n",карта,Schick mir eine Karte aus dem Urlaub.,Пришли мне открытку из отпуска.
"der Kugelschreiber, -",ручка,Der Kugelschreiber schreibt nicht mehr.,Ручка больше не пишет.
die Leute (Plural),люди,Die Leute stehen in der Schlange.,Люди стоят в очереди.
der Mittwoch,среда,Mittwoch ist ein Arbeitstag.,Среда - рабочий день.
"der Montag, -e",понедельник,Montag ist der Anfang der Woche.,Понедельник - начало недели.
"der Ort, -e",место,Der Ort des Treffens ist bekannt.,Место встречи известно.
"die Postleitzahl, -en",почтовый индекс,Die Postleitzahl gehört zur Adresse.,Почтовый индекс относится к адресу.
"der Samstag, -e",суббота,Samstag ist ein freier Tag.,Суббота - выходной день.
"der Sonntag, -e",воскресенье,Sonntag ist ein Ruhetag.,Воскресенье - день отдыха.
"die Stadt, -e",город,Die Stadt ist groß und modern.,Город большой и современный.
"die Unterschrift, -en",подпись,Die Unterschrift steht unten.,Подпись находится внизу.
das Wetter,погода,Das Wetter heute ist sonnig.,Погода сегодня солнечная.
"der Wochentag, -e",день недели,Welcher Wochentag ist heute?,Какой сегодня день недели?
"der Zettel, -",записка,Lies die Informationen auf dem Zettel.,Прочти информацию на записке.
freundlich,дружелюбный,Er ist freundlich.,Он дружелюбный.
heute,сегодня,Heute ist ein guter Tag.,Сегодня хороший день.
interessant,интересный,Das Buch ist interessant.,Книга интересная.
nett,"милый, приятный",Sie ist nett.,Она милая.
prima,отлично,Das Essen schmeckt prima.,Еда вкусная.
schlecht,плохой,Das Wetter ist schlecht.,Погода плохая.
schön,красивый,Das Bild ist schön.,Картина красивая.
sympathisch,симпатичный,Der Kollege ist sympathisch.,Коллега симпатичный.
toll,замечательный,Das Konzert war toll.,Концерт был замечательным.
wunderbar,чудесный,Der Tag war wunderbar.,День был чудесным.
"die Übung, -en",упражнение,Mach die Übungen.,Выполни упражнения.
"der Vokal, -e",гласный,"A, E, I, O, U sind Vokale.","A, E, I, O, U - гласные."
kontrollieren,контролировать,Ich muss die Arbeit kontrollieren.,Мне нужно проверить работу.
vergleichen,сравнивать,Vergleiche die Ergebnisse.,Сравни результаты.